file,unit_id,unit_title,width,height,verdict,note,current_url,order,replacement_file,retake_source,retake_note
Communications Boxes.png,243,"Chart Legend, Supplement, and Airport Data",805,427,replace_p2,marginal; retaken 2026-09-14 from AKTS legend p13 (communication boxes panel); uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/243/communications-boxes-e2f50cf4.png,5,retakes/communications-boxes-akts-legend.png,faa-pdf,Chart Users Guide communication boxes legend
Ex Airport data 1.png,243,"Chart Legend, Supplement, and Airport Data",619,506,replace_p1,"dense small text at <700px; retaken 2026-09-14 from Dallas-Ft Worth SEC GeoTIFF, DFW Intl data block circled; uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/243/ex-airport-data-1-2c05899d.png,6,retakes/ex-airport-data-1-dfw-sec.png,faa-geotiff,Dallas-Ft Worth SEC (download); re-annotate callouts
Ex Airport data 2.png,243,"Chart Legend, Supplement, and Airport Data",464,508,replace_p1,"dense small text at <700px; retaken 2026-09-14 from Dallas-Ft Worth SEC GeoTIFF, Ralph M Hall/Rockwall Muni data block circled; uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/243/ex-airport-data-2-ba980a4f.png,7,retakes/ex-airport-data-2-rockwall-dfw-sec.png,faa-geotiff,Dallas-Ft Worth SEC (download); re-annotate callouts
Ex chart supplement.png,231,Chart Supplement U.S.,817,735,replace_p2,marginal; retaken 2026-09-14 from digital Chart Supplement NW p48 (Coeur d'Alene COE entry); uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/231/ex-chart-supplement-9135bcc4.png,1,retakes/ex-chart-supplement-coe-dcs-nw.png,faa-pdf,digital Chart Supplement (d-CS) page render
Figure 1 L & L pic Quiz.png,22,Navigation: Latitude and Longitude,558,616,replace_p2,"500-700px; soft but readable; replace if Drive has better; retaken 2026-09-14 from Miami SEC GeoTIFF, Key West with 25N/82W graticule labels, matches old framing at ~3x res; uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/22/figure-1-l-l-pic-quiz-1a10e0aa.png,1,retakes/figure-1-lat-long-quiz-key-west-miami-sec.png,faa-pdf,AKTS FAA-CT-8080-2H figure render at 300dpi
Figure 2 L & L pic Quiz.png,22,Navigation: Latitude and Longitude,614,700,keep,acceptable at column width,https://media.thedroneedge.com/courses/35/22/figure-2-l-l-pic-quiz-806b1974.png,2,,,
L & L Lines.png,22,Navigation: Latitude and Longitude,1077,608,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/22/l-l-lines-8552f6f3.png,3,,,
Latitude and Longitude Globe.png,22,Navigation: Latitude and Longitude,620,604,replace_p2,500-700px; soft but readable; replace if Drive has better,https://media.thedroneedge.com/courses/35/22/latitude-and-longitude-globe-11e3c65b.png,4,,author-original,custom graphic; recreate or public-domain globe graticule
Longitude and Latitude Points A - D.png,22,Navigation: Latitude and Longitude,640,572,replace_p2,500-700px; soft but readable; replace if Drive has better,https://media.thedroneedge.com/courses/35/22/longitude-and-latitude-points-a-d-d1617475.png,5,,author-original,custom practice grid; need original slide or redraw
MEF.png,245,Maximum Elevation Figure (MEF),659,746,keep,acceptable at column width,https://media.thedroneedge.com/courses/35/245/mef-1aab2cac.png,1,,,
MOA Ex  Gamecock.png,334,Military Operations Areas (MOAs),606,571,replace_p2,retaken 2026-09-14 as composite from Charlotte SEC GeoTIFF (Gamecock MOA chart crop + collar MOA table with Gamecock I row boxed); uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/334/moa-ex-gamecock-f85f0ae2.png,1,retakes/moa-gamecock-charlotte-sec.png,faa-geotiff,"Charlotte SEC on disk (Gamecock MOA, SC)"
MTR Ex.png,342,Military Training Routes (MTRs),1023,403,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/342/mtr-ex-2dc51bda.png,1,,,
Manmade obstacles.png,244,Man-Made Obstacles on Sectional Charts,435,443,replace_p1,"under 500px long edge; upscaled 2-4x in content column; retaken 2026-09-14 from Dallas-Ft Worth SEC GeoTIFF; re-annotated same day so circles match text_content (1198 bldgs, 1743/1113 tower, 1216/565 group; stadium-flag circle removed - flag belongs to u24); uploaded + swapped into local JSON (goes live on republish)",https://media.thedroneedge.com/courses/35/244/manmade-obstacles-4951e3d3.png,1,retakes/manmade-obstacles-fort-worth-dfw-sec.png,faa-geotiff,Dallas-Ft Worth SEC (download); re-add circles
National Security Areas NSAS.png,347,National Security Areas (NSA),366,394,replace_p1,"under 500px long edge; retaken 2026-09-14 from Salt Lake City SEC GeoTIFF (Idaho National Lab NSA, notice box circled, matches old framing); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/347/national-security-areas-nsas-c2ce6889.png,1,retakes/nsa-idaho-national-lab-salt-lake-city-sec.png,faa-geotiff,Salt Lake City SEC on disk (Idaho National Lab NSA)
New Orleans Sectional Chart.png,241,Sectional Charts,978,745,keep,acceptable at column width,https://media.thedroneedge.com/courses/35/241/new-orleans-sectional-chart-79a12b34.png,1,,,
North Little Rock on Memphis sectional.png,241,Sectional Charts,663,744,keep,acceptable at column width,https://media.thedroneedge.com/courses/35/241/north-little-rock-on-memphis-sectional-f1add7cb.png,2,,,
Parachute Jumps Ex.png,344,Parachute Jump Aircraft Operations,1005,534,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/344/parachute-jumps-ex-acaac286.png,1,,,
Prohibeted Area Ex.png,332,Prohibited Areas,397,569,replace_p2,"retaken 2026-09-14 from Dallas-Ft Worth SEC GeoTIFF (P-47 Pantex near Amarillo boxed, same area as old figure); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/332/prohibeted-area-ex-7e38f245.png,1,retakes/prohibited-area-p-47-amarillo-dfw-sec.png,faa-geotiff,Dallas-Ft Worth SEC on disk (P-47 Amarillo)
Reading L & L lines.png,22,Navigation: Latitude and Longitude,1328,759,added_for_comparison,new figure live at courses/35/22/navigation-latitude-and-longitude-3-of-8-44f61689.png inserted as u22 image 3 (2026-09-14); old kept as image 4 pending live comparison,https://media.thedroneedge.com/courses/35/22/reading-l-l-lines-1db79f04.png,6,,,
Restricted Area Ex.png,331,Restricted Areas,327,366,replace_p1,"under 500px long edge; retaken 2026-09-14 from Las Vegas SEC GeoTIFF (R-4806W label circled, Creech AFB context); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/331/restricted-area-ex-14e9e2bb.png,1,retakes/restricted-area-r-4806w-las-vegas-sec.png,faa-geotiff,Las Vegas SEC on disk (R-4806W Nellis)
Sectional Aeronautical Chart.png,243,"Chart Legend, Supplement, and Airport Data",825,593,keep,acceptable at column width,https://media.thedroneedge.com/courses/35/243/sectional-aeronautical-chart-11653c23.png,8,,,
Sectional Charts.png,241,Sectional Charts,1206,340,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/241/sectional-charts-47222cb6.png,3,,,
Special Use Airspace on Seatle Secional Chart.png,33,Special Use Airspace,538,351,replace_p2,"retaken 2026-09-14 from Seattle SEC GeoTIFF collar (full SUA tabulation, same table as old figure at full res); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/33/special-use-airspace-on-seatle-secional-chart-3e05aaf0.png,1,retakes/special-use-airspace-table-seattle-sec.png,faa-geotiff,Seattle SEC on disk (chart-margin SUA table)
Special Use Airspace.png,33,Special Use Airspace,310,431,replace_p1,"low-res AND text cut off at right edge; retaken 2026-09-14 from DFW SEC chart-margin SUA tabulation (full P/R/W/A + MOA tables, fixes cut-off text); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/33/special-use-airspace-1eb0e738.png,2,retakes/special-use-airspace-table-dfw-sec.png,faa-pdf,AKTS legend special-use table (fixes cut-off text too)
Special Use airspace Ex 2.png,33,Special Use Airspace,509,416,replace_p2,"retaken 2026-09-14 from Seattle SEC GeoTIFF (Coupeville NOLF / R-6701 area boxed, matches old framing); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/33/special-use-airspace-ex-2-032ae330.png,3,retakes/special-use-r-6701-coupeville-seattle-sec.png,faa-geotiff,Seattle SEC on disk (R-6701 Whidbey Island)
Special Use airspace Ex1.png,33,Special Use Airspace,320,411,replace_p1,"under 500px long edge; retaken 2026-09-14 from Seattle SEC GeoTIFF (WARNING W-237A label boxed offshore Olympic coast, matches old framing); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/33/special-use-airspace-ex1-c09ae0d5.png,4,retakes/special-use-warning-w-237a-seattle-sec.png,faa-geotiff,Seattle SEC on disk (W-237A)
TFR Ex Washington DC.png,343,Temporary Flight Restrictions (TFRs),591,584,replace_p2,"retaken 2026-09-14 from Washington SEC GeoTIFF (P-40/R-4009 Camp David with flight-restriction caution box circled, same area as old figure); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/343/tfr-ex-washington-dc-4233dc79.png,1,retakes/tfr-p-40-camp-david-washington-sec.png,faa-geotiff,Washington SEC on disk (P-40/R-4009 Camp David)
Terminal Radar Service Areas TRSA.png,346,Terminal Radar Service Areas (TRSA),528,573,replace_p2,"retaken 2026-09-14 from New York SEC GeoTIFF (Wilkes-Barre TRSA label circled, grey rings, same area as old figure); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/346/terminal-radar-service-areas-trsa-c2ad66ba.png,1,retakes/trsa-wilkes-barre-scranton-new-york-sec.png,faa-geotiff,New York SEC on disk (Wilkes-Barre/Scranton TRSA)
Terminal chart Miami.png,242,Terminal Area Charts (TACs),874,739,keep,acceptable at column width,https://media.thedroneedge.com/courses/35/242/terminal-chart-miami-dbd70cfb.png,1,,,
Testing Supplement Book.png,38,Answering Airspace and Chart Questions,378,493,replace_p1,under 500px long edge; upscaled 2-4x in content column,https://media.thedroneedge.com/courses/35/38/testing-supplement-book-622a3402.png,2,,author-original,photo of physical book; re-shoot or render FAA cover
Using Aeronautical charts flag.png,24,Aeronautical Charts,515,528,replace_p2,"500-700px; soft but readable; replace if Drive has better; retaken 2026-09-14 from Dallas-Ft Worth SEC GeoTIFF, STADIUM VFR checkpoint flag circled near Dallas Love; uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/24/using-aeronautical-charts-flag-f8a6516f.png,1,retakes/vfr-checkpoint-flag-stadium-dfw-sec.png,faa-geotiff,SEC crop with checkpoint flag
VFR CheckPoint High Volume.png,345,Published VFR Routes,452,462,replace_p1,under 500px long edge; upscaled 2-4x in content column; same DFW STADIUM checkpoint retake serves here; uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/345/vfr-checkpoint-high-volume-6d7a0008.png,1,retakes/vfr-checkpoint-flag-stadium-dfw-sec.png,faa-geotiff,SEC crop showing VFR checkpoint flag
VFR Routes.png,345,Published VFR Routes,397,560,replace_p2,"retaken 2026-09-14 from New York TAC GeoTIFF (Hudson River corridor boxed over Manhattan, same area as old figure); uploaded + swapped into local JSON 2026-09-14 (goes live on republish)",https://media.thedroneedge.com/courses/35/345/vfr-routes-96c5a361.png,2,retakes/vfr-routes-hudson-corridor-new-york-tac.png,faa-geotiff,New York TAC on disk (Hudson River SFRA corridor)
Warning Area Ex.png,333,Warning Areas,512,405,added_for_comparison,"retaken from Jacksonville SEC GeoTIFF (W-137E/W-138E circled, offshore St. Augustine; old figure was Seattle SEC W-570); appended as u333 image 2 (2026-09-14) for live comparison",https://media.thedroneedge.com/courses/35/333/warning-area-ex-bbd0f630.png,1,retakes/warning-areas-w-137e-w-138e-jacksonville-sec.png,faa-geotiff,Jacksonville SEC on disk (W-157/158 offshore)
sample L & L 1 no map.png,22,Navigation: Latitude and Longitude,1315,717,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/22/sample-l-l-1-no-map-3cbd2e92.png,7,,,
sample L & L 2 no map.png,22,Navigation: Latitude and Longitude,1313,702,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/22/sample-l-l-2-no-map-72492307.png,8,,,
