sheet,row,category,sub_category,unit_id,unit_title,section_id,section_title,lesson_id,lesson_title,tree_depth,maps_to_leaf,sub_unit_id,course_path,match_score,topical_unit_id,final_exam_only,final_exam_reason,classified_by,needs_review,review_reason,attention_reason,source_file,answer,question
test,13,Airports & Airspace,Aeronautical Charts,,"Airports, Airspace, and Data Sources",24,Aeronautical Charts: Types and Interpretation,241,Sectional Charts vs. Terminal Area Charts (TACs),3,yes,,"Airports, Airspace, and Data Sources > Aeronautical Charts: Types and Interpretation > Sectional Charts vs. Terminal Area Charts (TACs)",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,Part 1 Test -Key DE,C,"(Refer to FAA-CT-8080-2H, Figure 20, area 4.) A small UA is being launched 2 NM northeast of the town of Hertford. What is the height of the highest obstacle?"
test,14,Airports & Airspace,"Overview, NOTAMS",,"Airports, Airspace, and Data Sources",23,Four Essential Airport Data Sources,232,Notices to Airmen (NOTAMs),3,yes,,"Airports, Airspace, and Data Sources > Four Essential Airport Data Sources > Notices to Airmen (NOTAMs)",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,Part 1 Test -Key DE,B,"(Refer to FAA-CT-8080-2H, Figure 20, area 5.) How would a remote PIC ""CHECK NOTAMS"" as noted in the CAUTION box regarding the unmarked balloon?"
test,15,Airports & Airspace,"Airport Operations, Non-towered Airports",,AIRPORT OPERATIONS,42,Airport Runways and Orientation,421,Towered vs. Non-Towered Airport Procedures,3,yes,,AIRPORT OPERATIONS > Airport Runways and Orientation > Towered vs. Non-Towered Airport Procedures,3.00,4,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,2nd rnd practice test,C,"(Refer to FAA-CT-8080-2H, Figure 21, area 1.) After receiving authorization from ATC to operate a small UA near Minot International airport (MOT) while the control tower is operational, which radio communication frequency could be used to monitor manned aircraft and ATC communications?"
test,16,Airports & Airspace,"Overview, L & L",,"Airports, Airspace, and Data Sources",,,22,Navigation: Latitude and Longitude,2,yes,,"Airports, Airspace, and Data Sources > Navigation: Latitude and Longitude",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,new 60 questions test prep,A,"(Refer to FAA-CT-8080-2H, Figure 21, area 2.) Which airport is located at approximately 47 degrees 41 minutes 00 seconds N latitude and 101 degrees 36 minutes 00 seconds W longitude?"
test,17,Airports & Airspace,"Airport Operations, MOA",,Airspace Classifications,33,Special Use Airspace,334,Military Operations Areas (MOAs),3,yes,,Airspace Classifications > Special Use Airspace > Military Operations Areas (MOAs),3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,2nd rnd practice test,C,"(Refer to FAA-CT-8080-2H, Figure 21.) You have been hired by a farmer to use your small UA to inspect his crops. The area that you are to survey is in the Devil's Lake West MOA, east of area 2. How would you find out if the MOA is active?"
test,18,Airports & Airspace,,,AIRPORT OPERATIONS,42,Airport Runways and Orientation,421,Towered vs. Non-Towered Airport Procedures,3,yes,,,,4,yes,requires FAA-CT figure (cross-section chart reading),fallback_keyword[Towered/Non-towered procedures] → FINAL_EXAM,yes,No course path match,No course path match; final_exam: missing course_path; blank spreadsheet sub_category (col I); fallback_keyword[Towered/Non-towered procedures],2nd rnd practice test,A,"(Refer to FAA-CT-8080-2H, Figure 22, area 2.) At Coeur D'Alene which frequency should be used as a Common Traffic Advisory Frequency (CTAF) to monitor airport traffic?"
test,19,Airports & Airspace,Aeronautical Charts,,"Airports, Airspace, and Data Sources",24,Aeronautical Charts: Types and Interpretation,241,Sectional Charts vs. Terminal Area Charts (TACs),3,yes,,"Airports, Airspace, and Data Sources > Aeronautical Charts: Types and Interpretation > Sectional Charts vs. Terminal Area Charts (TACs)",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,Part 1 Test -Key DE,B,"(Refer to FAA-CT-8080-2H, Figure 22, area 2.) Weather information is available at the Coeur d'Alene (COE) Airport"
test,20,Airports & Airspace,Airport Data Sources,,"Airports, Airspace, and Data Sources",23,Four Essential Airport Data Sources,231,Chart Supplement U.S. (CSU),3,yes,,"Airports, Airspace, and Data Sources > Four Essential Airport Data Sources > Chart Supplement U.S. (CSU)",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,Part 1 Test -Key DE,C,"(Refer to FAA-CT-8080-2H, Figure 23, area 4.) What is the required flight visibility for a remote pilot operating an unmanned aircraft near the Plantation Airport (JYL)?"
test,21,Airports & Airspace,Aeronautical Charts,,"Airports, Airspace, and Data Sources",24,Aeronautical Charts: Types and Interpretation,241,Sectional Charts vs. Terminal Area Charts (TACs),3,yes,,"Airports, Airspace, and Data Sources > Aeronautical Charts: Types and Interpretation > Sectional Charts vs. Terminal Area Charts (TACs)",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,Part 1 Test -Key DE,B,"(Refer to FAA-CT-8080-2H, Figure 24, area 3, and Legend 1.) For information about the parachute operations at Tri-County Airport, refer to"
test,23,Airports & Airspace,"Airspace Classifications,",,Airspace Classifications,,,31,Introduction and Airspace Categories,2,yes,,Airspace Classifications > Introduction and Airspace Categories,3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,new 60 questions test prep,A,"(Refer to FAA-CT-8080-2H, Figure 25, area 2.) What is the base of Class B airspace at Lakeview (30F) Airport?"
test,24,Airports & Airspace,"Airspace Classifications,",,Airspace Classifications,,,31,Introduction and Airspace Categories,2,yes,,Airspace Classifications > Introduction and Airspace Categories,3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,2nd rnd practice test,B,"(Refer to FAA-CT-8080-2H, Figure 25, area 3.) The floor of Class B airspace at Dallas Executive (RBD) is"
test,25,Airports & Airspace,"Airspace Classifications,",,Airspace Classifications,,,31,Introduction and Airspace Categories,2,yes,,Airspace Classifications > Introduction and Airspace Categories,3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,Part 1 Test -Key DE,B,"(Refer to FAA-CT-8080-2H, Figure 26, area 2.) While monitoring the Cooperstown CTAF you hear an aircraft announce that they are midfield left downwind to RWY 13. Where would the aircraft be relative to the runway?"
test,26,Airports & Airspace,"Airspace Classifications,",,Airspace Classifications,,,31,Introduction and Airspace Categories,2,yes,,Airspace Classifications > Introduction and Airspace Categories,3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,2nd rnd practice test,C,"(Refer to FAA-CT-8080-2H, Figure 26, area 4.) You have been hired to inspect the tower under construction at 46.9N and 98.6W, near Jamestown Regional (JMS). What must you receive prior to flying your unmanned aircraft in this area?"
test,27,Airports & Airspace,"Airspace Classifications, MOA",,Airspace Classifications,33,Special Use Airspace,334,Military Operations Areas (MOAs),3,yes,,Airspace Classifications > Special Use Airspace > Military Operations Areas (MOAs),3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,new 60 questions test prep,C,"(Refer to FAA-CT-8080-2H, Figure 26.) The Devils Lake East MOA (area 1) is a"
test,28,Airports & Airspace,"Overview, L & L",,"Airports, Airspace, and Data Sources",,,22,Navigation: Latitude and Longitude,2,yes,,"Airports, Airspace, and Data Sources > Navigation: Latitude and Longitude",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,2nd rnd practice test,C,"(Refer to FAA-CT-8080-2H, Figure 26.) What does the line of latitude at area 4 measure?"
test,29,Airports & Airspace,"Airspace Classifications, MTR",,Airspace Classifications,34,Other Airspace Areas,342,Military Training Routes (MTRs),3,yes,,Airspace Classifications > Other Airspace Areas > Military Training Routes (MTRs),3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,2nd rnd practice test,A,"(Refer to FAA-CT-8080-2H, Figure 59, area 2.) The chart shows a gray line with VR1667, VR1617, VR1638, and VR1668. Could this area present a hazard to the operations of a small UA?"
test,30,Airports & Airspace,"Airspace Classifications,",,Airspace Classifications,,,31,Introduction and Airspace Categories,2,yes,,Airspace Classifications > Introduction and Airspace Categories,3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,new 60 questions test prep,C,"(Refer to FAA-CT-8080-2H, Figure 75, area 6.) The airspace surrounding the Gila Bend AF AUX Airport (GXF) is classified as"
test,31,Airports & Airspace,"Airspace Classifications,",,Airspace Classifications,,,31,Introduction and Airspace Categories,2,yes,,Airspace Classifications > Introduction and Airspace Categories,3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,new 60 questions test prep,C,"(Refer to FAA-CT-8080-2H, Figure 78. Near the center of the figure.) What class of airspace is associated with SIOUX GATEWAY/COL DAY (SUX) Airport?"
test,33,Regulations,Operating Rules,,PART 107 REGULATIONS,13,Operational Rules and Limitations,139,Operating Limitations,3,yes,,Unit 1 (unscoped),0.40,1,yes,requires FAA-CT figure (cross-section chart reading),fallback_keyword[Operating limitations] → FINAL_EXAM,yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; fallback_keyword[Operating limitations],new 60 questions test prep,C,"(Refer to FAA-CT-8080-2H, Figure 78.) You have been contracted to inspect towers located approximately 4NM southwest of the Sioux Gateway (SUX) airport operating an unmanned aircraft. What is the maximum altitude above ground level (AGL) that you are authorized to operate over the top of the towers?"
test,34,Airports & Airspace,"Airspace Classifications,",,Airspace Classifications,,,31,Introduction and Airspace Categories,2,yes,,Airspace Classifications > Introduction and Airspace Categories,3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,Part 1 Test -Key DE,B,"(Refer to FAA-CT-8080-2H, Figure 78.) You have been hired to use your small UAS to inspect the railroad tracks from Blencoe (SE of Sioux City) to Onawa. Will ATC authorization be required?"
end-of-unit,37,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,C,"(Refer to figure 15 FAA-CT-8080-2H) During the period 0600Z to 0606Z, what is the probability of thunderstorms?"
end-of-unit,48,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,B,(Refer to Figure 15 FAA-CT-8080-2H) The forecast ceiling at KMEM from 1200Z to 1220Z is:
end-of-unit,35,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,A,"(Refer to figure 15 FAA-CT-8080-2H) What does ""BECMG 0522/0524 20013G20KT"" indicate?"
end-of-unit,41,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,B,"(Refer to figure 15 FAA-CT-8080-2H) What does ""P6SM SCT040"" mean in the forecast starting at 0608Z?"
end-of-unit,44,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,C,(Refer to Figure 15 FAA-CT-8080-2H) What is the expected wind direction and speed at KMEM from 1222Z onward?
end-of-unit,45,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,A,(Refer to Figure 15 FAA-CT-8080-2H) What is the forecast ceiling for KMEM from 1220Z to 1222Z?
end-of-unit,47,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,A,(Refer to Figure 15 FAA-CT-8080-2H) What is the forecast wind direction and speed at KMEM from 1202Z to 1205Z?
end-of-unit,39,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,A,"(Refer to figure 15 FAA-CT-8080-2H) What visibility is expected during the ""TEMPO 0513/0516"" period?"
end-of-unit,46,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,B,(Refer to Figure 15 FAA-CT-8080-2H) When is fog expected to occur according to the TAF?
end-of-unit,43,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,A,"(Refer to Figure 15 FAA-CT-8080-2H) According to the TAF, what type of weather is expected from 1220Z to 1222Z?"
end-of-unit,42,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,C,(Refer to Figure 15 FAA-CT-8080-2H) What is the forecast visibility for KMEM at the beginning of the TAF period (1218Z)?
end-of-unit,36,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,B,(Refer to figure 15 FAA-CT-8080-2H) What is the forecasted ceiling at 051200Z?
end-of-unit,38,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,B,"(Refer to figure 15 FAA-CT-8080-2H) What weather phenomenon is associated with ""OVC008CB""?"
end-of-unit,34,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,B,(Refer to figure 15 FAA-CT-8080-2H) At what time does the visibility improve to greater than 6 statute miles?
end-of-unit,40,Weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,C,(Refer to figure 15) What is the wind forecast for 0608Z?
test,50,Weather,"sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,C,"(Refer to figure 15, FAA-CT-8080-2H) During the period 0600Z to 0606Z, what is the probability of thunderstorms?"
test,51,Weather,"sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,B,"(Refer to Figure 15, FAA-CT-8080-2H) The forecast ceiling at KMEM from 1200Z to 1220Z is:"
test,52,Weather,"sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,A,"(Refer to figure 15, FAA-CT-8080-2H) What does ""BECMG 0522/0524 20013G20KT"" indicate?"
test,53,Weather,"sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,B,"(Refer to figure 15, FAA-CT-8080-2H) What does ""P6SM SCT040"" mean in the forecast starting at 0608Z?"
test,54,Weather,"sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,C,"(Refer to Figure 15, FAA-CT-8080-2H) What is the expected wind direction and speed at KMEM from 1222Z onward?"
test,55,Weather,"sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,A,"(Refer to Figure 15, FAA-CT-8080-2H) What is the forecast ceiling for KMEM from 1220Z to 1222Z?"
test,56,Weather,"sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,A,"(Refer to Figure 15, FAA-CT-8080-2H) What is the forecast wind direction and speed at KMEM from 1202Z to 1205Z?"
test,57,Weather,"sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF2 and KEY,A,"(Refer to figure 15, FAA-CT-8080-2H) What visibility is expected during the ""TEMPO 0513/0516"" period?"
test,58,Weather,"sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,TAF Quiz- key,B,"(Refer to Figure 15, FAA-CT-8080-2H) When is fog expected to occur according to the TAF?"
